Game,Publisher,Operating Office,Office Location (PH if available),Est. Revenue per month USD,Est. % of PH Users per month,Est. PH Revenue per month USD,Data Source,Platform,Top-Up Stores,Revenue Sources
Free Fire MAX,GARENA INTERNATIONAL I,"Garena Philippines Inc., 8th Floor, 5th Ave Street, Taguig, 1634 Metro Manila",Philippines,"$9,000,000.00",1.00%,"$90,000.00",SensorTower,Android,"Codashop, SEAGM, Internal/In-Game, Joytify (LapakGaming), VeeWise Sari-Sari Store","Subscriptions, In-App Purchases, Ads"
Crazy Odyssey,Zonfun Entertainment,"Rm 22 2/F Fu Tao Bldg, 98 Argyle St, Mong Kok",Hong Kong,"$100,000.00",77.00%,"$77,000.00",SensorTower,Android,Internal/In-Game,Ads
Solo Leveling:Arise,Netmarble,"38 Digital-ro 26-gil, Guro-gu, Seoul",South Korea,"$600,000.00",7.00%,"$42,000.00",SensorTower,Android,"Internal/In-Game, SEAGM","Subscriptions, In-App Purchases"
War Robots Multiplayer Battles,MYGAMES MENA FZ LLC,"PO Box: 77824, Abu Dhabi",United Arab Emirates,"$2,000,000.00",2.00%,"$40,000.00",SensorTower,Android,"Internal/In-Game, SEAGM","In-App Purchases, Ads"
Archero 2,HABBY (Habby PTE. LTD.),"81 South Bridge Road, #02-01, Singapore (058711)",Singapore,"$3,000,000.00",1.00%,"$30,000.00",SensorTower,iOS,"Internal/In-Game, SEAGM, Joytify (LapakGaming)","In-App Purchases, Ads"
Diablo Immortal,Blizzard Entertainment Inc.,"1 Blizzard Way, Irvine, CA 92618",United States,"$3,000,000.00",1.00%,"$30,000.00",SensorTower,iOS,"Internal/In-Game, Razer Gold, Codashop, SEAGM, Joytify (LapakGaming)","Subscriptions, In-App Purchases"
League of Legends: Wild Rift,Riot Games,"7th Floor, Unit B, Makati, National Capital Region, 1200",Philippines,"$3,000,000.00",1.00%,"$30,000.00",SensorTower,iOS,"Internal/In-Game, Razer Gold, Codashop, JollyMax, SEAGM, Joytify (LapakGaming), VeeWise Sari-Sari Store, Creamstore.ph","Subscriptions, In-App Purchases"
Wuthering Waves,"KURO GAMES (Guangzhou Kuro Network Technology Co., Ltd.)","Room 401, No. 4, Poly World Trade Center, No. 1000 Xingang East Road, Haizhu District, Guangzhou",China,"$3,000,000.00",1.00%,"$30,000.00",SensorTower,iOS,"Internal/In-Game, SEAGM, Joytify (LapakGaming), Creamstore.ph, VeeWise Sari-Sari Store","Subscriptions, In-App Purchases"
Where Winds Meet,NETEASE INTERACTIVE ENTERTAINMENT PTE. LTD.,"10 Collyer Quay, #10-01 Ocean Financial Centre, Singapore 049315",Singapore,"$700,000.00",3.00%,"$21,000.00",SensorTower,Android,"Internal/In-Game, SEAGM, Joytify (LapakGaming), Creamstore.ph, VeeWise Sari-Sari Store","Subscriptions, In-App Purchases"
Castle Busters,Voodoo,"100 Rue de Réaumur, 75002 Paris",France,"$2,000,000.00",1.00%,"$20,000.00",SensorTower,iOS,Internal/In-Game,"In-App Purchases, Ads"
Crossfire: Legends,Level Infinite,"10 Anson Road, #21-07 International Plaza, Singapore 079903",Singapore,"$40,000.00",32.00%,"$12,800.00",SensorTower,Android,"Internal/In-Game, UniPin, Razer Gold, SEAGM, MidasBuy",In-App Purchases
Crossfire: Legends,Level Infinite,"10 Anson Road, #21-07 International Plaza, Singapore 079903",Singapore,"$20,000.00",54.00%,"$10,800.00",SensorTower,iOS,"Internal/In-Game, UniPin, Razer Gold, SEAGM, MidasBuy",In-App Purchases
Archero 2,HABBY (Habby PTE. LTD.),"81 South Bridge Road, #02-01, Singapore (058711)",Singapore,"$1,000,000.00",1.00%,"$10,000.00",SensorTower,Android,"Internal/In-Game, SEAGM, Joytify (LapakGaming)","In-App Purchases, Ads"
Dicero,HABBY (Habby PTE. LTD.),"81 South Bridge Road, #02-01, Singapore (058711)",Singapore,"$1,000,000.00",1.00%,"$10,000.00",SensorTower,iOS,Internal/In-Game,"In-App Purchases, Ads"
Last Day on Earh: Survival,Kefir (Kefir Games Studio),"28 Oktovriou, 367, Limassol",Cyprus,"$1,000,000.00",1.00%,"$10,000.00",SensorTower,Android,Internal/In-Game,"In-App Purchases, Ads"
Where Winds Meet,NETEASE INTERACTIVE ENTERTAINMENT PTE. LTD.,"10 Collyer Quay, #10-01 Ocean Financial Centre, Singapore 049315",Singapore,"$1,000,000.00",1.00%,"$10,000.00",SensorTower,iOS,"Internal/In-Game, SEAGM, Joytify (LapakGaming), Creamstore.ph, VeeWise Sari-Sari Store","Subscriptions, In-App Purchases"
Modern Warships: Naval Battles,Artstorm FZE,"Office Number 320, Third Floor, One UAQ Building, Umm Al Quwain",United Arab Emirates,"$700,000.00",1.00%,"$7,000.00",SensorTower,Android,"Internal/In-Game, SEAGM, Joytify (LapakGaming)","In-App Purchases, Ads"
Marvel Future Fight,Netmarble Corporation,"38 Digital-ro 26-gil, Guro-gu, Seoul",South Korea,"$680,000.00",1.00%,"$6,800.00",SensorTower,iOS,Internal/In-Game,In-App Purchases
Blood Strike - FPS for all,NetEase Games,"No. 95 Wanghai Road, Block 4, Wanghai Building, Xiamen, Fujian",China,"$600,000.00",1.00%,"$6,000.00",SensorTower,iOS,"Internal/In-Game, UniPin, Razer Gold, Codashop, JollyMax, SEAGM, Joytify (LapakGaming), Creamstore.ph, VeeWise Sari-Sari Store","Subscriptions, In-App Purchases"
Mech Assemble: Zombie Swarm,ONEMT SGP (ONEMT PTE. LTD.),"Republic Plaza, 9 Raffles Place, #26-001, Singapore 048619",Singapore,"$600,000.00",1.00%,"$6,000.00",SensorTower,Android,Internal/In-Game,"In-App Purchases, Ads"
NTE: Neverness to Everness,N2E ENTERTAINMENT PTE. LTD.,"192 Waterloo Street, #06-08 Skyline, Singapore 187966",Singapore,"$500,000.00",1.00%,"$5,000.00",SensorTower,iOS,"Internal/In-Game, Razer Gold, SEAGM, Joytify (LapakGaming)","Subscriptions, In-App Purchases"
World War Heroes — WW2 PvP FPS,Azur Interactive Games Limited,"John Kennedy 16, NIVIAN COURT, 3rd Floor, 1087 Nicosia",Cyprus,"$500,000.00",1.00%,"$5,000.00",SensorTower,Android,"Internal/In-Game, Joytify (LapakGaming)","Subscriptions, In-App Purchases, Ads"
Sunday City: Life Simulator,Kefir (Kefir Games Studio),"28 Oktovriou, 367, Limassol",Cyprus,"$400,000.00",1.00%,"$4,000.00",SensorTower,iOS,Internal/In-Game,"In-App Purchases, Ads"
MU2: Dark Epoch,"BUILDING-BLOCKS NETWORK TECHNOLOGY CO., LIMITED","Flat/RM 702, 7/F Kowloon Bldg, 555 Nathan Rd, Kowloon, 999077",Hong Kong,"$30,000.00",0.50%,$150.00,SensorTower,iOS,"Internal/In-Game, UniPin, JollyMax, SEAGM",In-App Purchases
